total_reads,reads_aligned,duplicate_reads,sample
22350816,19385413,1396955,SRX534094_Control_1_DRIP-seq
31777817,26145894,5464385,SRX534095_AGS1_P1_DRIP-seq
59383856,22665117,11025698,SRX534096_AGS2_P1_DRIP-seq
16337631,13218771,1212369,SRX534097_AGS2_P2_DRIP-seq
44734050,15603268,6211248,SRX534098_AGS4_P1_DRIP-seq
31315862,27034244,5083006,SRX534099_AGS4_P2_DRIP-seq
50403261,39671432,9709927,SRX534100_AGS5_P1_DRIP-seq
137826970,59754800,8589504,SRX5443751_2-6H_DRIP-seq_rep_a
159940894,55525663,14584054,SRX5443752_2-6H_DRIP-seq_rep_b
129935476,61761364,23375131,SRX5443753_2-6H_RNaseH_DRIP-seq_rep_a
112757652,22632877,14509567,SRX5443754_2-6H_RNaseH_DRIP-seq_rep_b
135311298,63758171,12784134,SRX5443757_10-14H_DRIP-seq_rep_a
274672996,128192212,42028860,SRX5443758_10-14H_DRIP-seq_rep_b
21050290,5482709,1710855,SRX5443759_10-14H_RNaseH_DRIP-seq_rep_a
82332580,22776011,13080447,SRX5443760_10-14H_RNaseH_DRIP-seq_rep_b
153336802,83057207,11128109,SRX5443763_S2_DRIP-seq_rep_a
97436504,58918390,4628606,SRX5443764_GEO_accession_GSM3634009_is_currently_private_and_is_scheduled_to_be_released_on_Feb_03_2020
149075762,63413501,35239362,SRX5443765_GEO_accession_GSM3634010_is_currently_private_and_is_scheduled_to_be_released_on_Feb_03_2020
86401806,21777084,9953623,SRX5443766_GEO_accession_GSM3634011_is_currently_private_and_is_scheduled_to_be_released_on_Feb_03_2020
33121244,22399154,3539167,SRX550078_Control_3_DRIP-seq
195587648,79285959,10653339,SRX5547605_Replicate_1_RR-ChIP_seq_D210N
253717820,94258649,14155079,SRX5547606_Replicate_2_RR-ChIP_seq_D210N
287864058,31612985,10472021,SRX5547607_RR-ChIP_seq_WKKD
32824024,25124540,1611752,SRX5696400_U2OS_siCTRL
32796420,24223355,1581460,SRX5696402_U2OS_siRTEL1
32799071,24657917,1703089,SRX5696404_U2OS_siRTEL1_APH
23571156,20690294,2637093,SRX5729069_LS72E_PATC53_sDRIP-seq_DMSO_1day
24419778,21384421,4314890,SRX5729070_LS72G_PATC53_sDRIP-seq_DMSO_3day
27580755,24281434,4545825,SRX5729071_LS72H_PATC53_sDRIP-seq_Inh_3day
35934925,32112279,2866601,SRX5729072_LS99E_PATC53_sDRIP-seq_DMSO_1day
39581008,35402270,3291540,SRX5729073_LS99F_PATC53_sDRIP-seq_Inh_1day
61325491,54132886,7065519,SRX5729074_LS99G_PATC53_sDRIP-seq_Inh_1day
72475744,62231661,8346597,SRX5729075_LS99H_PATC53_sDRIP-seq_DMSO_3day
50162105,43800097,3783384,SRX5729076_LS99I_PATC53_sDRIP-seq_Inh_3day
53421144,36281625,30449346,SRX5849996_DRIPc-seq_RNaseA_treated
53344108,50466332,3160103,SRX6427713_siGL3_qDRIP-seq_1
55265618,51542273,3561670,SRX6427714_siGL3_qDRIP-seq_2
45737266,41727517,5988845,SRX6427715_siGL3_qDRIP-seq_andRH
55287070,52149750,3451794,SRX6427717_DMSO_qDRIP-seq_1
51040300,48152711,2901870,SRX6427718_DMSO_qDRIP-seq_2
55596310,52242912,3824260,SRX6427720_DRB_qDRIP-seq_1
58675604,54229915,4064647,SRX6427721_DRB_qDRIP-seq_2
44224700,40109345,4126346,SRX6427722_DRB_qDRIP-seq_andRH
160397028,137411434,50860144,SRX6428486_shCTRL_ssDRIP_rep1
137683036,118645357,42942915,SRX6428487_shCTRL_ssDRIP_rep2
151703830,130377163,48315746,SRX6428488_shCTRL_ssDRIP_rep3
162140868,134864371,57853786,SRX6428491_shMETTL3_ssDRIP_rep1
143768350,119877221,48768781,SRX6428492_shMETTL3_ssDRIP_rep2
149306140,124550784,53110722,SRX6428493_shMETTL3_ssDRIP_rep3
149708330,132026652,69472403,SRX6428494_shCTRL_EV_ssDRIP_rep1
148505328,128850721,78307167,SRX6428495_shCTRL_EV_ssDRIP_rep2
152995662,132308763,59902361,SRX6428496_shMETTL3_EV_ssDRIP_rep1
143772762,123650081,61717536,SRX6428497_shMETTL3_EV_ssDRIP_rep2
149392308,127282060,69830091,SRX6428498_shMETTL3_mut_ssDRIP_rep1
145097128,122794971,72093891,SRX6428499_shMETTL3_mut_ssDRIP_rep2
158607640,137285092,66175664,SRX6428500_shMETTL3_WT_ssDRIP_rep1
156296204,135827936,77696261,SRX6428501_shMETTL3_WT_ssDRIP_rep2
23946362,12791079,1985336,SRX6651643_SX014C_U87_DRIP-seq_WT_rep1
35563345,18496312,3369781,SRX6651644_SX014D_U87_DRIP-seq_WT_rep2
27285663,14734092,2358402,SRX6651645_SX014E_U87DRIP-seq_Setx_KD_rep1
18862501,9248439,1213798,SRX6651646_SX014F_U87_DRIP-seq_Setx_KD_rep2
67679408,19950012,5213961,SRX6686232_DRIPc_seq_siC_1
157471554,76653728,46420463,SRX6686233_DRIPc_seq_siUAP56_1
109501896,33950316,8193545,SRX6686234_DRIPc_seq_siC_2
148730154,100642477,66459975,SRX6686235_DRIPc_seq_siUAP56_2
18507660,12216027,1132442,SRX6686236_DRIP_seq_siC_untreated
105684063,8546871,8067790,SRX6779957_Replicate1_RDIP_pRNH1-GFP
91675153,8741570,8237887,SRX6779959_Replicate2_RDIP_pRNH1-GFP
39193668,36483986,2700467,SRX7299431_DMSO-R-ChIP
45338788,42284291,3237095,SRX7299435_dBET6-R-ChIP
48969302,44359802,2515455,SRX7583977_untreated_qDRIP-seq
52960634,48104385,5625507,SRX7583979_untreated_qDRIP-seq_and_standard_RH
58656058,52596880,3985872,SRX7583980_untreated_qDRIP-seq_and_high_RH
85889076,6476173,1305094,SRX7583981_siGL3_qDRIP-seq_HeLa_and_S2_1
80397258,6148275,1064155,SRX7583982_siGL3_qDRIP-seq_HeLa_and_S2_2
24152,2753,80,SRX7671349_RDIPseq_RNAseH1oe
154320866,137817447,33907197,SRX7805791_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep1
138235810,123773462,27419262,SRX7805792_ssDRIP_sequencing_of_hVECs_ssDRIP-EC_rep2
183678972,172161696,26381645,SRX7805793_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep1
175992426,165729851,26337471,SRX7805794_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_batch2_rep2
156605274,141164422,29443192,SRX7805795_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_rep1
154414346,139174852,31603954,SRX7805796_ssDRIP_sequencing_of_hESCs_ssDRIP-ESC_rep2
215023440,202248557,41294154,SRX7805797_ssDRIP_sequencing_of_hiPSCs_ssDRIP-iPSC_batch2_rep1
225488476,212025220,43708679,SRX7805798_ssDRIP_sequencing_of_hiPSCs_ssDRIP-iPSC_batch2_rep2
93851594,83305703,19060820,SRX7805799_ssDRIP_sequencing_of_hiPSCs_ssDRIP-iPSC_rep1
126570140,112655771,26974578,SRX7805800_ssDRIP_sequencing_of_hiPSCs_ssDRIP-iPSC_rep2
154669742,138094794,26975026,SRX7805801_ssDRIP_sequencing_of_hMSCs_ssDRIP-MSC_rep1
130190392,116645695,24167339,SRX7805802_ssDRIP_sequencing_of_hMSCs_ssDRIP-MSC_rep2
201174554,189126399,30524745,SRX7805803_ssDRIP_sequencing_of_hNSCs_ssDRIP-NSC_batch2_rep1
197066246,185337284,31197161,SRX7805804_ssDRIP_sequencing_of_hNSCs_ssDRIP-NSC_batch2_rep2
136993448,122268519,19346632,SRX7805805_ssDRIP_sequencing_of_hNSCs_ssDRIP-NSC_rep1
135244898,120917274,19992433,SRX7805806_ssDRIP_sequencing_of_hNSCs_ssDRIP-NSC_rep2
152014532,130904751,34395457,SRX7805807_ssDRIP_sequencing_of_hVSMCs_ssDRIP-VSMC_rep1
107351192,92255557,22388485,SRX7805808_ssDRIP_sequencing_of_hVSMCs_ssDRIP-VSMC_rep2
13007350,128483,80292,SRX8110928_NC
17026058,189955,93429,SRX8110929_NCandI-PpoI
9911868,391192,64960,SRX8110930_siMETTL3
16804838,132478,97001,SRX8110931_siMETTL3andI-PpoI
8754968,73642,47251,SRX8110932_RNase_H1
34974429,30571201,7661459,SRX8122753_K562_DRIP-seq_Control_DG1A
31632318,26912791,7588125,SRX8122754_K562_DRIP-seq_PladB_2_hours_DG1B
68487748,59487334,35023919,SRX8122755_K562_DRIP-seq_PladB_4_hours_DG1C
40552345,34701086,9499827,SRX8122756_K562_DRIP-seq_Control_DG1D
32846852,25739199,5294502,SRX8122757_GEO_accession_GSM4478674_is_currently_private_and_is_scheduled_to_be_released_on_Apr_01_2022
30300657,26310104,5513025,SRX8122758_K562_DRIP-seq_DMSO_4_hours_DG1F
41956232,35053957,11544520,SRX8122759_K562_DRIP-seq_PladB_2_hours_DG1G
43378874,36296017,10243798,SRX8122760_K562_DRIP-seq_PladB_4_hours_DG1H
27272775,23965889,3541851,SRX8122769_K562_sDRIP-seq_Control_DG3A
28154124,24051546,2860634,SRX8122770_K562_sDRIP-seq_DMSO_4_hours_DG3B
22480982,19509338,3358016,SRX8122771_K562_sDRIP-seq_PladB_4_hours_DG3C
24968770,21640696,2675784,SRX8122772_K562_sDRIP-seq_Control_DG3D
25644441,22101623,2870990,SRX8122773_K562_sDRIP-seq_DMSO_4_hours_DG3E
60159811,26929113,14718803,SRX8908657_Control_rep_1_DRIP-seq
84773869,40973649,23695787,SRX8908658_Control_rep_2_DRIP-seq
74998884,35578887,20197876,SRX8908660_Control_rep_1_Rnase-H_DRIP-seq
65277285,38180634,21380337,SRX8908661_Control_rep_2_Rnase-H_DRIP-seq
54794221,32298211,17799690,SRX8908662_DDX5_KD_rep_1_DRIP-seq
76758459,35537789,19475534,SRX8908663_DDX5_KD_rep_2_DRIP-seq
71976781,30996101,16757184,SRX8908665_PRMT5_KD_rep_1_DRIP-seq
57571159,30407830,16501277,SRX8908666_PRMT5_KD_rep_2_DRIP-seq
62178925,33896707,18619642,SRX8908668_XRN2_KD_rep_1_DRIP-seq
80928706,34185059,18657698,SRX8908669_XRN2_KD_rep_2_DRIP-seq
42117508,26198294,5034003,SRX969059_AGS1_P2_DRIP-seq
26773491,16538668,2276848,SRX969060_AGS5_P2_DRIP-seq
22749646,9152864,7178821,SRX978416_DRIP_RNAseq_Control
